Page URL,Data added,Name,URL
https://www.notion.so/11b98271e1e4816ba3fde2049e6dacf6,"""2024-10-10T08:06:00.000Z""",Pyramid Flow,"""https://pyramid-flow.github.io/"""
https://www.notion.so/11598271e1e4815281d4c3e2ebd7c0f4,"""2024-10-04T09:11:00.000Z""",EnzymeFlow: Generating Reaction-specific Enzyme Catalytic Pockets through Flow Matching and Co-Evolutionary Dynamics,"""https://arxiv.org/html/2410.00327v1#A7"""
https://www.notion.so/10f98271e1e481799ef8cd48bc4e6cae,"""2024-09-28T07:49:00.000Z""",Effects of residue substitutions on the cellular abundance of proteins,"""https://www.biorxiv.org/content/10.1101/2024.09.23.614650v1.full.pdf+html"""
https://www.notion.so/10698271e1e481f9ad62f6d6f05f86ca,"""2024-09-19T08:44:00.000Z""",mdCATH: A Large-Scale MD Dataset for Data-Driven Computational Biophysics,"""https://arxiv.org/abs/2407.14794"""
https://www.notion.so/026fc71d621d4b75859da054485d3615,"""2024-08-19T08:32:00.000Z""",Entangled biphoton generation in the myelin sheath,"""https://journals.aps.org/pre/abstract/10.1103/PhysRevE.110.024402#fulltext"""
https://www.notion.so/edb82dd0365442d1938ab75687ff1356,"""2024-07-25T13:26:00.000Z""",Starvar: symptom-based tool for automatic ranking of variants using evidence from literature and genomes,"""https://pubmed.ncbi.nlm.nih.gov/37479972/"""
https://www.notion.so/f0c116957ef4496599184fc4d87a0855,"""2024-07-24T15:28:00.000Z""",Aligning protein generative models with experimental fitness via Direct Preference Optimization | bioRxiv,"""https://www.biorxiv.org/content/10.1101/2024.05.20.595026v1"""
https://www.notion.so/c414d80389154d959fe1f7efedf0814f,"""2024-07-23T08:04:00.000Z""",Contextual AI models for single-cell protein biology | Nature Methods,"""https://www.nature.com/articles/s41592-024-02341-3.epdf?sharing_token=OszHUqgqk1AHlMXU5Bq4b9RgN0jAjWel9jnR3ZoTv0Od3H1PiVrQirxA79rxTDzyC6ouVNdbqjMYxGgue2bG1FGnZ2OGk1viLxcMW0i5gsZu4Mq-TlDUdbfg-XdWtANooGN2Xp7DULZRJBHMA02nHa3nhnOfuRPqiCMcSBw8rgA%3D"""
https://www.notion.so/6dbcafafb0c3442685fdcb955681d458,"""2024-07-19T10:03:00.000Z""",Accurate structure prediction of biomolecular interactions with AlphaFold 3,"""https://www.nature.com/articles/s41586-024-07487-w"""
https://www.notion.so/d17da26e758b44249c444aebc8e98e02,"""2024-07-16T20:22:00.000Z""",LAB-Bench: Measuring Capabilities of Language Models for Biology Research,"""https://arxiv.org/html/2407.10362v3"""
https://www.notion.so/747dc1d1dde142cfa47883fdb87bb8a1,"""2024-07-11T16:53:00.000Z""",Detecting hallucinations in large language models using semantic entropy | Nature,"""https://www.nature.com/articles/s41586-024-07421-0"""
https://www.notion.so/95718b7b647c4373b150c673ce9f56ca,"""2024-04-12T11:15:00.000Z""",VarChat: the generative AI assistant for the interpretation of human genomic variations | Bioinformatics | Oxford Academic,"""https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btae183/7641533?login=false"""
https://www.notion.so/f23e018c870046b090694478b34c3c4f,"""2024-02-05T09:46:00.000Z""",DNA-Diffusion: Leveraging Generative Models for Controlling Chromatin Accessibility and Gene Expression via Synthetic Regulatory Elements,"""https://twitter.com/lucapinello/status/1753506203081265474?s=46&t=r4n7retBQvdnaMANjAD7rA"""
https://www.notion.so/2b7464c66a8c41bfa03b0f03d430b66b,"""2024-02-03T08:31:00.000Z""",Understanding the cell: Future views of structural biology,"""https://www.cell.com/cell/fulltext/S0092-8674(23)01349-1"""
https://www.notion.so/cc027b70c84444ed89ebdc286a7732a8,"""2024-02-02T20:30:00.000Z""",CRAG - Corrective RAG,"""https://arxiv.org/abs/2401.15884v1"""
https://www.notion.so/e6f89b634ae54ba9b8d0c4d9e7cfdc96,"""2024-02-02T14:56:00.000Z""",Distance-AF: Modifying Predicted Protein Structure Models by Alphafold2 with User-Specified Distance Constraints - PMC,"""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10723377/"""
https://www.notion.so/6be950eb76c4457184c16a56cbfe1641,"""2024-01-25T11:03:00.000Z""",Pre-Training Protein Encoder via Siamese Sequence-Structure Diffusion Trajectory Prediction | OpenReview,"""https://openreview.net/forum?id=tIzbNQko3c"""
https://www.notion.so/3c08146501184c2790943788b2f2877f,"""2024-01-24T18:38:00.000Z""",SPEACH_AF: Sampling protein ensembles and conformational heterogeneity with Alphafold2 | PLOS Computational Biology,"""https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1010483"""
https://www.notion.so/24c8dfca7f7140429c71590ee6cf6f3d,"""2024-01-24T18:30:00.000Z""",AlphaFold2 and Deep Learning for Elucidating Enzyme Conformational Flexibility and Its Application for Design | JACS Au,"""https://pubs.acs.org/doi/10.1021/jacsau.3c00188"""
https://www.notion.so/d48381854a1149f7b97f09aead7c404b,"""2024-01-23T14:30:00.000Z""",Programmable synthetic receptors: the next-generation of cell and gene therapies | Signal Transduction and Targeted Therapy,"""https://www.nature.com/articles/s41392-023-01680-5"""
https://www.notion.so/0a700a961dbf4e2ab68a4e75c9920c25,"""2024-01-23T10:32:00.000Z""","Estimating peptide half‐life in serum from tunable, sequence‐related physicochemical properties - PMC","""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8301568/#cts12985-sup-0002"""
https://www.notion.so/8a66eef135554e7981af845c0c0359cb,"""2024-01-22T13:37:00.000Z""",Highly accurate protein structure prediction with AlphaFold | Nature,"""https://www.nature.com/articles/s41586-021-03819-2"""
https://www.notion.so/1f59d2420c3e4dac8fa495bc4a7e33d2,"""2024-01-17T14:58:00.000Z""",AlphaFold Meets Flow Matching for generating protein ensembles,"""https://openreview.net/forum?id=yQcebEgQfH"""
https://www.notion.so/bbdf9c9ef6e14724ad7542b1a11de3a0,"""2024-01-16T19:56:00.000Z""",ACS special issue on AI and synthetic biology ,"""https://pubs.acs.org/doi/full/10.1021/acssynbio.3c00760"""
https://www.notion.so/1ebd51a0bd7d486c889665c7e33393ca,"""2024-01-10T09:06:00.000Z""",Using NMR diffusion data to validate MD models of disordered proteins: Test case of N-terminal tail of histone H4,"""https://www.cell.com/biophysj/fulltext/S0006-3495(23)00720-8?s=09"""
https://www.notion.so/aa22e69a8f93431e874a5a004e1bafe2,"""2024-01-08T09:28:00.000Z""",Ferulic acid production by metabolically engineered Escherichia coli | Bioresources and Bioprocessing | Full Text,"""https://bioresourcesbioprocessing.springeropen.com/articles/10.1186/s40643-021-00423-0"""
https://www.notion.so/1ec9a416eb3c4f1f9b63787e8f4c358a,"""2023-12-29T22:18:00.000Z""",An atlas of gene regulatory elements in adult mouse cerebrum | Nature,"""https://www.nature.com/articles/s41586-021-03604-1"""
